color, c, m, y, k, similar to Pantone
MOOTONE 168 M,20,100,11,41,Pantone 235c
MOOTONE 169 M,3,37,0,0,Pantone 236c
MOOTONE 170 M,6,52,0,0,Pantone 237c
MOOTONE 171 M,12,74,0,0,Pantone 238c
MOOTONE 172 M,16,82,0,0,Pantone 239c
MOOTONE 173 M,20,89,0,0,Pantone 240c
MOOTONE 174 M,30,100,2,2,Pantone 241c
MOOTONE 175 M,32,100,11,41,Pantone 242c
MOOTONE 176 M,4,32,0,0,Pantone 243c
MOOTONE 177 M,9,45,0,0,Pantone 244c
MOOTONE 178 M,16,56,0,0,Pantone 245c
MOOTONE 179 M,31,88,0,0,Pantone 246c
MOOTONE 180 M,35,95,0,0,Pantone 247c
MOOTONE 181 M,42,100,0,0,Pantone 248c
MOOTONE 182 M,42,95,10,31,Pantone 249c
MOOTONE 183 M,7,28,0,0,Pantone 250c
MOOTONE 184 M,17,43,0,0,Pantone 251c
MOOTONE 185 M,27,67,0,0,Pantone 252c
MOOTONE 186 M,40,90,0,0,Pantone Purple c
MOOTONE 187 M,42,91,0,0,Pantone 253c
MOOTONE 188 M,48,96,0,0,Pantone 254c
MOOTONE 189 M,52,96,10,24,Pantone 255c
MOOTONE 190 M,9,22,0,0,Pantone 256c
MOOTONE 191 M,18,36,0,0,Pantone 257c
MOOTONE 192 M,51,79,0,0,Pantone 258c
MOOTONE 193 M,67,100,4,5,Pantone 259c
MOOTONE 194 M,66,100,8,27,Pantone 260c
MOOTONE 195 M,62,100,9,44,Pantone 261c
MOOTONE 196 M,58,92,12,54,Pantone 262c
MOOTONE 197 M,22,39,0,0,Pantone 2563c
MOOTONE 198 M,35,52,0,0,Pantone 2573c
MOOTONE 199 M,47,72,0,0,Pantone 2583c
MOOTONE 200 M,66,92,0,0,Pantone 2593c
MOOTONE 201 M,72,99,0,3,Pantone 2603c
MOOTONE 202 M,74,99,5,11,Pantone 2613c
MOOTONE 203 M,75,100,8,26,Pantone 2623c
MOOTONE 204 M,29,45,0,0,Pantone 2567c
MOOTONE 205 M,40,54,0,0,Pantone 2577c
MOOTONE 206 M,58,76,0,0,Pantone 2587c
MOOTONE 207 M,80,99,0,0,Pantone 2597c
MOOTONE 208 M,83,99,0,2,Pantone 2607c
MOOTONE 209 M,84,99,0,12,Pantone 2617c
MOOTONE 210 M,85,100,6,38,Pantone 2627c
MOOTONE 211 M,10,17,0,0,Pantone 263c
MOOTONE 212 M,26,37,0,0,Pantone 264c
MOOTONE 213 M,52,66,0,0,Pantone 265c
MOOTONE 214 M,76,90,0,0,Pantone 266c
MOOTONE 215 M,82,97,0,0,Pantone 267c
MOOTONE 216 M,82,98,0,12,Pantone 268c
MOOTONE 217 M,80,98,5,27,Pantone 269c
MOOTONE 218 M,24,29,0,0,Pantone 2635c
MOOTONE 219 M,40,44,0,0,Pantone 2645c
MOOTONE 220 M,54,61,0,0,Pantone 2655c
MOOTONE 221 M,70,76,0,0,Pantone 2665c
MOOTONE 222 M,90,99,0,0,Pantone Violet c
MOOTONE 223 M,90,99,0,8,Pantone 2685c
MOOTONE 224 M,91,100,8,58,Pantone 2695c
MOOTONE 225 M,29,25,0,0,Pantone 270c
MOOTONE 226 M,49,44,0,0,Pantone 271c
MOOTONE 227 M,61,56,0,0,Pantone 272c
MOOTONE 228 M,100,100,0,22,Pantone 273c
MOOTONE 229 M,100,100,7,38,Pantone 274c
MOOTONE 230 M,100,100,7,56,Pantone 275c
MOOTONE 231 M,100,100,10,79,Pantone 276c
MOOTONE 232 M,40,36,0,0,Pantone 2705c
MOOTONE 233 M,56,52,0,0,Pantone 2715c
MOOTONE 234 M,76,76,0,0,Pantone 2725c
MOOTONE 235 M,97,100,0,4,Pantone 2735c
MOOTONE 236 M,97,100,0,18,Pantone 2745c
MOOTONE 237 M,97,100,0,30,Pantone 2755c
MOOTONE 238 M,100,100,9,57,Pantone 2765c
MOOTONE 239 M,35,9,0,0,Pantone 277c
MOOTONE 240 M,45,14,0,0,Pantone 278c
MOOTONE 241 M,68,34,0,0,Pantone 279c
MOOTONE 242 M,100,89,0,0,Pantone Reflex Blue c
MOOTONE 243 M,100,85,5,22,Pantone 280c
MOOTONE 244 M,100,85,5,36,Pantone 281c
MOOTONE 245 M,100,90,13,68,Pantone 282c
MOOTONE 246 M,42,9,0,0,Pantone 283c
MOOTONE 247 M,58,17,0,0,Pantone 284c
MOOTONE 248 M,90,48,0,0,Pantone 285c
MOOTONE 249 M,100,75,0,0,Pantone 286c
MOOTONE 250 M,100,75,2,18,Pantone 287c
MOOTONE 251 M,100,80,6,32,Pantone 288c
MOOTONE 252 M,100,76,12,70,Pantone 289c
MOOTONE 253 M,23,0,1,0,Pantone 290c
MOOTONE 254 M,38,4,0,0,Pantone 291c
MOOTONE 255 M,58,11,0,0,Pantone 292c
MOOTONE 256 M,100,69,0,4,Pantone 293c
MOOTONE 257 M,100,69,7,30,Pantone 294c
MOOTONE 258 M,100,69,8,54,Pantone 295c
MOOTONE 259 M,100,73,28,86,Pantone 296c
MOOTONE 260 M,52,0,1,0,Pantone 297c
MOOTONE 261 M,67,2,0,0,Pantone 298c
