color, c, m, y, k, r, g, b
MOOTONE 281 M,44,0,11,0,104,210,223
MOOTONE 282 M,58,0,14,0,0,193,213
MOOTONE 283 M,84,0,18,0,0,174,199
MOOTONE 284 M,100,0,20,0,0,142,170
MOOTONE 285 M,100,10,29,20,0,119,139
MOOTONE 286 M,100,9,29,47,0,98,114
MOOTONE 287 M,100,16,33,66,0,79,89
MOOTONE 288 M,23,0,10,0,177,228,227
MOOTONE 289 M,40,0,14,0,136,219,223
MOOTONE 290 M,58,0,22,0,45,204,211
MOOTONE 291 M,96,0,31,2,0,156,166
MOOTONE 292 M,96,3,35,12,0,140,149
MOOTONE 293 M,97,9,39,34,0,115,119
MOOTONE 294 M,96,16,42,57,0,95,97
MOOTONE 295 M,35,0,14,0,156,219,217
MOOTONE 296 M,52,0,23,0,100,204,201
MOOTONE 297 M,81,0,39,0,0,178,169
MOOTONE 298 M,100,2,60,14,0,134,117
MOOTONE 299 M,100,10,61,38,0,115,103
MOOTONE 300 M,100,14,60,49,0,104,94
MOOTONE 301 M,90,21,60,65,0,83,76
MOOTONE 302 M,44,0,20,0,113,219,212
MOOTONE 303 M,49,0,23,0,42,210,201
MOOTONE 304 M,76,0,38,0,0,191,179
MOOTONE 305 M,94,0,48,0,0,164,153
MOOTONE 306 M,100,4,56,8,0,133,120
MOOTONE 307 M,98,14,65,51,0,89,79
MOOTONE 308 M,90,21,65,69,0,76,69
MOOTONE 309 M,42,0,24,0,124,224,211
MOOTONE 310 M,48,0,25,0,44,213,196
MOOTONE 311 M,66,0,39,0,0,199,177
MOOTONE 312 M,90,0,52,0,0,179,152
MOOTONE 313 M,98,0,58,0,0,150,129
MOOTONE 314 M,100,5,65,26,0,120,100
MOOTONE 315 M,92,25,70,68,0,78,66
MOOTONE 316 M,48,0,22,0,109,205,184
MOOTONE 317 M,58,0,30,0,73,197,177
MOOTONE 318 M,86,0,52,0,0,171,142
MOOTONE 319 M,99,0,69,0,0,155,119
MOOTONE 320 M,99,3,68,12,0,130,100
MOOTONE 321 M,99,11,72,35,0,106,82
MOOTONE 322 M,94,28,74,73,3,70,56
MOOTONE 323 M,27,0,15,0,167,230,215
MOOTONE 324 M,33,0,18,0,140,226,208
MOOTONE 325 M,49,0,28,0,60,219,192
MOOTONE 326 M,93,0,63,0,0,171,132
MOOTONE 327 M,99,0,70,0,0,151,117
MOOTONE 328 M,97,6,69,19,0,123,95
MOOTONE 329 M,95,11,70,44,0,102,79
MOOTONE 330 M,39,0,22,0,143,214,189
MOOTONE 331 M,50,0,31,0,110,206,178
MOOTONE 332 M,84,0,58,0,0,179,136
MOOTONE 333 M,99,0,84,0,0,150,94
MOOTONE 334 M,95,5,82,24,0,122,83
MOOTONE 335 M,93,10,75,43,0,103,71
MOOTONE 336 M,89,19,72,60,17,87,64
MOOTONE 337 M,36,0,24,0,122,225,191
MOOTONE 338 M,43,0,28,0,71,215,172
MOOTONE 339 M,66,0,48,0,0,195,137
MOOTONE 340 M,88,0,68,0,0,175,102
MOOTONE 341 M,97,10,86,18,0,119,73
MOOTONE 342 M,93,13,85,44,0,99,65
MOOTONE 343 M,93,24,85,68,21,71,52
MOOTONE 344 M,32,0,30,0,160,218,179
MOOTONE 345 M,43,0,41,0,145,214,172
MOOTONE 346 M,52,0,51,0,113,204,152
MOOTONE 347 M,93,0,100,0,0,154,68
MOOTONE 348 M,96,2,100,12,0,132,61
MOOTONE 349 M,90,12,95,40,4,106,56
MOOTONE 350 M,80,21,79,64,44,82,52
MOOTONE 351 M,27,0,23,0,162,228,184
MOOTONE 352 M,37,0,31,0,143,226,176
MOOTONE 353 M,41,0,36,0,128,224,167
MOOTONE 354 M,81,0,92,0,0,177,64
MOOTONE 355 M,91,0,100,0,0,150,57
MOOTONE 356 M,91,4,100,25,0,122,51
MOOTONE 357 M,92,18,94,61,33,87,50
MOOTONE 358 M,34,0,42,0,173,220,145
MOOTONE 359 M,40,0,50,0,161,216,132
MOOTONE 360 M,63,0,84,0,108,194,74
MOOTONE 361 M,77,0,100,0,67,176,42
MOOTONE 362 M,78,0,100,2,80,158,47
MOOTONE 363 M,76,3,100,18,76,140,43
MOOTONE 364 M,71,4,100,45,74,119,41
MOOTONE 365 M,24,0,44,0,194,225,137
MOOTONE 366 M,31,0,51,0,183,221,121
MOOTONE 367 M,41,0,68,0,164,214,94
MOOTONE 368 M,65,0,100,0,120,190,32
MOOTONE 369 M,68,0,100,0,100,167,11
MOOTONE 370 M,62,1,100,25,101,141,27
MOOTONE 371 M,50,9,98,61,84,98,35
MOOTONE 372 M,16,0,41,0,212,235,142
MOOTONE 373 M,21,0,48,0,205,234,128
MOOTONE 374 M,30,0,64,0,197,232,108
MOOTONE 375 M,46,0,90,0,151,215,0
MOOTONE 376 M,54,0,100,0,132,189,0
MOOTONE 377 M,50,1,100,20,122,154,1
MOOTONE 378 M,47,11,99,64,89,98,29
MOOTONE 379 M,13,0,61,0,226,232,104
MOOTONE 380 M,18,0,82,0,219,228,66
MOOTONE 381 M,25,0,98,0,206,220,0
MOOTONE 382 M,28,0,100,0,196,214,0
MOOTONE 383 M,29,1,100,18,168,173,0
MOOTONE 384 M,26,4,99,35,148,147,0
MOOTONE 385 M,24,14,94,55,120,113,33
MOOTONE 386 M,9,0,66,0,233,236,107
MOOTONE 387 M,12,0,80,0,227,233,53
MOOTONE 388 M,15,0,80,0,224,231,33
MOOTONE 389 M,21,0,85,0,208,223,0
MOOTONE 390 M,27,0,100,3,181,189,0
MOOTONE 391 M,23,5,100,33,154,149,0
MOOTONE 392 M,24,11,100,48,130,122,4
MOOTONE 393 M,6,0,55,0,240,236,116
MOOTONE 394 M,6,0,72,0,237,233,57
MOOTONE 395 M,9,0,90,0,236,232,26
MOOTONE 396 M,10,0,95,0,225,224,0
MOOTONE 397 M,14,2,100,15,191,184,0
MOOTONE 398 M,14,6,100,24,173,164,0
MOOTONE 399 M,16,9,100,36,160,146,0
MOOTONE 400 M,2,0,60,0,243,234,93
MOOTONE 401 M,3,0,90,0,243,229,0
MOOTONE 402 M,4,0,100,0,239,223,0
MOOTONE 403 M,7,0,100,0,238,220,0
MOOTONE 404 M,8,7,100,25,187,166,0
MOOTONE 405 M,12,13,100,43,154,135,0
MOOTONE 406 M,23,25,100,67,104,92,32
MOOTONE 407 M,6,7,13,16,196,191,182
MOOTONE 408 M,10,11,17,27,175,169,160
MOOTONE 409 M,13,16,21,36,157,150,141
MOOTONE 410 M,18,21,27,47,140,133,123
MOOTONE 411 M,20,25,30,58,119,110,100
MOOTONE 412 M,26,31,35,72,105,97,88
MOOTONE 413 M,63,62,58,94,45,41,38
MOOTONE 414 M,5,8,10,16,196,188,183
MOOTONE 415 M,9,14,13,28,178,168,162
MOOTONE 416 M,12,19,19,40,151,140,135
MOOTONE 417 M,17,25,22,51,133,120,116
MOOTONE 418 M,22,33,28,60,116,102,97
MOOTONE 419 M,30,42,34,75,94,81,77
MOOTONE 420 M,52,58,45,90,56,47,45
MOOTONE 421 M,9,5,12,14,186,187,177
MOOTONE 422 M,13,8,17,26,168,169,158
MOOTONE 423 M,22,14,23,38,145,147,136
MOOTONE 424 M,28,18,29,51,126,127,116
MOOTONE 425 M,33,23,35,63,101,102,92
MOOTONE 426 M,38,26,40,72,81,83,74
MOOTONE 427 M,86,70,69,95,33,35,34
MOOTONE 428 M,6,4,7,13,199,201,199
MOOTONE 429 M,13,8,11,26,178,180,178
MOOTONE 430 M,19,12,13,34,158,162,162
MOOTONE 431 M,22,14,18,45,137,141,141
